,category,is_closed,latitude,longitude,name,rating,review_count
1046,southern,False,34.0736424077856,-118.376774467984,Yardbird Southern Table & Bar,4.5,937
1047,korean,False,34.0639032,-118.3061281,Hae Jang Chon Korean BBQ Restaurant,4.0,4765
1048,seafood,False,34.0833651,-118.3262166,Mario's Peruvian & Seafood,4.0,2260
1049,mexican,False,34.0702395145121,-118.250448424643,Guisados,4.5,2005
1050,taiwanese,False,34.0614,-118.23951,Lao Tao,4.0,405
1051,cocktailbars,False,34.046306200000004,-118.23425,Nightshade,4.5,326
1052,ramen,False,34.0484525,-118.23909209999998,Shin-Sen-Gumi Hakata Ramen - Little Tokyo,4.0,2678
1053,ramen,False,34.083710700000005,-118.3446759,Tatsu Ramen,4.0,3339
1054,sandwiches,False,34.0945448886537,-118.338174904238,Fat Sal's Deli - Hollywood,4.0,1997
1055,bars,False,34.101795,-118.3323928,Te'Kila,4.0,929
1056,foodstands,False,34.0829620177,-118.217007706,Ave 26 Taco Stand,4.5,1299
1057,burgers,False,34.06469,-118.30876,Monty's Good Burger,4.5,1577
1058,movietheaters,False,34.04809,-118.25894333,Alamo Drafthouse Cinema Downtown Los Angeles,4.5,110
1059,cocktailbars,False,34.04168,-118.26308,Prank,4.0,726
1060,mexican,False,34.048120000000004,-118.21147,Guisados,4.5,2403
1061,chickenshop,False,34.041836309712,-118.259046916196,Birdies,4.0,1735
1062,chicken_wings,False,34.067454299999994,-118.3096191,Gol Tong Chicken,4.5,551
1063,mexican,False,34.046530597539395,-118.250679851854,Guisados DTLA,4.5,1702
1064,newamerican,False,34.0690575,-118.226105,Majordōmo,4.0,833
1065,falafel,False,34.1169649464573,-118.262093149437,Dune,4.5,668
1066,breakfast_brunch,False,34.04067,-118.2500946,Poppy + Rose,4.0,2210
1067,tradamerican,False,34.10268,-118.24345,Wax Paper,4.5,289
1068,vegan,False,34.08279,-118.32404,Cafe Gratitude - Larchmont,4.0,2074
